industry_display,description,rollup
401,Pipeline transportation,Transportation & Warehousing
402,Scenic and sightseeing transportation and support activities for transportation,Transportation & Warehousing
403,Couriers and messengers,Transportation & Warehousing
404,Warehousing and storage,Transportation & Warehousing
405,Newspaper publishers,Publishing - Print
406,Periodical publishers,Publishing - Print
407,Book publishers,Publishing - Print
408,"Directory, mailing list, and other publishers",Publishing - Print
409,Greeting card publishing,Publishing - Print
410,Software publishers,Publishing - Electronic
411,Motion picture and video industries,Publishing - Electronic
412,Sound recording industries,Publishing - Electronic
413,Radio and television broadcasting,Publishing - Electronic
414,Cable and other subscription programming,Publishing - Electronic
415,Wired telecommunications carriers,Telecommunications
416,Wireless telecommunications carriers (except satellite),Telecommunications
417,"Satellite, telecommunications resellers, and all other telecommunications",Telecommunications
418,"Data processing, hosting, and related services",Publishing - Electronic
419,"News syndicates, libraries, archives and all other information services",Publishing - Electronic
420,Internet publishing and broadcasting and web search portals,Publishing - Electronic
421,Nondepository credit intermediation and related activities,Financial
422,Securities and commodity contracts intermediation and brokerage,Financial
423,Monetary authorities and depository credit intermediation,Financial
424,Other financial investment activities,Financial
425,Direct life insurance carriers,Insurance
426,"Insurance carriers, except direct life",Insurance
427,"Insurance agencies, brokerages, and related activities",Insurance
428,"Funds, trusts, and other financial vehicles",Insurance
429,Other real estate,Real Estate
430,Tenant-occupied housing,Real Estate
431,Owner-occupied housing,Real Estate
432,Automotive equipment rental and leasing,Rental & Leasing Services
433,General and consumer goods rental except video tapes and discs,Rental & Leasing Services
434,Video tape and disc rental,Rental & Leasing Services
435,Commercial and industrial machinery and equipment rental and leasing,Rental & Leasing Services
436,Lessors of nonfinancial intangible assets,Rental & Leasing Services
437,Legal services,Professional
438,"Accounting, tax preparation, bookkeeping, and payroll services",Professional
439,"Architectural, engineering, and related services",Professional
440,Specialized design services,Professional
441,Custom computer programming services,Professional
442,Computer systems design services,Professional
443,"Other computer related services, including facilities management",Professional
444,Management consulting services,Professional
445,Environmental and other technical consulting services,Professional
446,Scientific research and development services,Professional
447,"Advertising, public relations, and related services",Professional
448,Photographic services,Professional
449,Veterinary services,Professional
450,"All other miscellaneous professional, scientific, and technical services",Professional
451,Management of companies and enterprises,Professional
452,Office administrative services,Professional
453,Facilities support services,Professional
454,Employment services,Professional
455,Business support services,Professional
456,Travel arrangement and reservation services,Professional
457,Investigation and security services,Professional
458,Services to buildings,Building Services
459,Landscape and horticultural services,Building Services
460,Other support services,Building Services
461,Waste management and remediation services,Building Services
462,Elementary and secondary schools,Education
463,"Junior colleges, colleges, universities, and professional schools",Education
464,Other educational services,Education
465,Offices of physicians,Healthcare
466,Offices of dentists,Healthcare
467,Offices of other health practitioners,Healthcare
468,Outpatient care centers,Healthcare
469,Medical and diagnostic laboratories,Healthcare
470,Home health care services,Healthcare
471,Other ambulatory health care services,Healthcare
472,Hospitals,Healthcare
473,Nursing and community care facilities,Healthcare
474,"Residential mental health, substance abuse, and other residential care facilities",Healthcare
475,Individual and family services,Human Services
476,Child day care services,Human Services
477,"Community food, housing, and other relief services, including rehabilitation services",Human Services
478,Performing arts companies,Entertainment
479,Commercial Sports Except Racing,Entertainment
480,Racing and Track Operation,Entertainment
481,"Independent artists, writers, and performers",Entertainment
482,Promoters of performing arts and sports and agents for public figures,Entertainment
483,"Museums, historical sites, zoos, and parks",Entertainment
484,Amusement parks and arcades,Entertainment
485,Gambling industries (except casino hotels),Entertainment
486,Other amusement and recreation industries,Entertainment
487,Fitness and recreational sports centers,Entertainment
488,Bowling centers,Entertainment
489,"Hotels and motels, including casino hotels",Accommodations
490,Other accommodations,Accommodations
491,Full-service restaurants,Restaurants
492,Limited-service restaurants,Restaurants
493,All other food and drinking places,Restaurants
494,"Automotive repair and maintenance, except car washes",Maintenance & Repair
495,Car washes,Maintenance & Repair
496,Electronic and precision equipment repair and maintenance,Maintenance & Repair
497,Commercial and industrial machinery and equipment repair and maintenance,Maintenance & Repair
498,Personal and household goods repair and maintenance,Maintenance & Repair
499,Personal care services,Personal Services
500,Death care services,Personal Services
501,Dry-cleaning and laundry services,Personal Services
502,Other personal services,Personal Services
503,Religious organizations,"Religious, Nonprofit, Civic"
504,"Grantmaking, giving, and social advocacy organizations","Religious, Nonprofit, Civic"
505,Business and professional associations,"Religious, Nonprofit, Civic"
506,Labor and civic organizations,"Religious, Nonprofit, Civic"
507,Private households,Personal Services
508,Postal service,Postal
509,Federal electric utilities,Government
510,Other federal government enterprises,Government
511,State government passenger transit,Government
512,State government electric utilities,Government
513,Other state government enterprises,Government
514,Local government passenger transit,Government
515,Local government electric utilities,Government
516,Other local government enterprises,Government
